

Alexander, Dr. Marc
Alsop, Peter Roger
Alvarado, Dr. Rafael
Anderson, Dr. Deborah
Anderson, Sheila
Andreev, Vadim Sergeevich
Andrews, Dr. Tara Lee
Antonijevic, Dr. Smiljana
Appleford, Simon James
Arneil, Stewart
Arthur, Dr. Paul
Ashton, Andrew Thomas
Audenaert, Dr. Michael Neal
Baayen, Prof. Rolf Harald
Baker, Drew
Bamman, David
Bański, Dr. Piotr
Barney, Brett
Bartsch, Dr. Sabine
Baudoin, Dr. Patsy
Bauer, Jean Ann
Bauman, Syd
Baumann, Ryan Frederick
Beavan, David
Bellamy, Dr. Craig
Bennis, Prof. Hans
Bentkowska-Kafel, Dr. Anna
Biber, Dr. Hanno
Bingenheimer, Dr. Marcus
Blanke, Dr. Tobias
Bodard, Dr. Gabriel
Bode, Dr. Katherine
Boggs, Jeremy
Bol, Prof. Peter Kees
Boot, Dr. Peter
Bordalejo, Dr. Barbara
Borgman, Prof. Christine L.
Borin, Prof. Lars
Boschetti, Dr. Federico
Bosse, Arno
Bouchard, Matthew
Bowen, Prof. William
Boyd, Dr. Jason Alexander
Bradley, John
Brisac, Anne-Laure
Brown, Prof. James
Brown, Prof. Susan
Brown, Travis Robert
Brughmans, Tom
Büchler, Marco
Buchmueller, Sandra
Burghart, Marjorie
Burnard, Lou
Burr, Prof. Elisabeth
Burrows, Dr. Toby Nicolas
Buzzetti, Prof. Dino
Byron, Dr. Mark Stephen
Canteaut, Dr. Olivier
Caton, Dr. Paul
Cayless, Dr. Hugh
Chamberlain, Dr. Daniel David
Cheesman, Dr. Tom
Chen, Dr. Shih-Pei
Chorney, Dr. Tatjana
Chue Hong, Neil
Ciula, Dr. Arianna
Clavaud, Florence
Clavert, Dr. Frédéric
Clement, Dr. Tanya
Clivaz, Prof. Claire
Cohen, Dr. Daniel J.
Connors, Louisa
Conway, Prof. Paul
Cooney, Dr. Charles M.
Cordell, Dr. Ryan
Cowan, William
Craig, Prof. Hugh
Crawford, Tim
Cream, Prof. Randall
Crompton, Dr. Constance
Croxall, Dr. Brian
Crymble, Adam H.
Cummings, Dr. James C.
Cunningham, Dr. Richard
Czmiel, Alexander
Dacos, Marin
Dahlstrom, Dr. Mats
Dalmau, Michelle
Dalziel, Karin
Davis, Dr. Rebecca Frost
Dawson, Dr. John
Day, Shawn
Deegan, Prof. Marilyn
Delve, Dr. Janet
Devlin, Dr. Kate
DiNunzio, Joseph
Dobrin, Dr. Lise M.
Dombrowski, Quinn Anya
Douglass, Prof. Jeremy
Downie, Prof. J. Stephen
Dubin, Dr. David S.
Dunn, Dr. Stuart
Dunning, Alastair
Earhart, Dr. Amy
Eberle-Sinatra, Dr. Michael
Eckart, Thomas
Eder, Dr. Maciej
Edmond, Dr. Jennifer C
Egan, Dr. Gabriel
Eide, Øyvind
Ell, Dr. Paul S.
Engel, Prof. Deena
Esteva, Dr. Maria
Everaert, Prof. Martin
Fendt, Dr. Kurt E.
Finn, Prof. Edward
Fiormonte, Dr. Domenico
Fischer, Dr. Franz
Fitzpatrick, Dr. Kathleen
Flanders, Dr. Julia
Forest, Dr. Dominic
Fraistat, Prof. Neil R.
France, Dr. Fenella Grace
French, Dr. Amanda
French, Dr. Scot
Funkhouser, Prof. Chris
Furner, Dr. Jonathan
Furuta, Dr. Richard
Gallet-Blanchard, Prof. Liliane
Gants, Prof. David
Garces, Dr. Juan
Garfinkel, Dr. Susan
Gärtner, Prof. Kurt
Gartner, Richard
Gibbs, Prof. Fred
Gibson, Dr. Matthew
Gil, Alexander
Gilbert, Joseph
Gillies, Sean
Gist, D. Chris
Goetz, Dr. Sharon K.
Gold, Dr. Matthew K.
Goldfield, Dr. Joel
Gouglas, Dr. Sean
Gow, Ann
Gradmann, Prof. Stefan
Graham, Wayne
Green, Prof. Harriett Elizabeth
Gregory, Dr. Ian
Groß, Dr. Nathalie
Gueguen, Gretchen Mary
Guertin, Dr. Carolyn
Guiliano, Dr. Jennifer Elizabeth
Hankins, Gabriel Anderson
Hanlon, Ann
Harbeson, Prof. Eric
Harris, Dr. Katherine D.
Hawkins, Kevin Scott
Heath, Sebastian
Hedges, Dr. Mark
Heiden, Dr. Serge
Heuvel, Dr. Charles van den
Heyer, Prof. Gerhard
Hill, Dr. Timothy
Hirsch, Dr. Brett
Hoffmann, Daniel
Holmes, Martin
Hoover, Prof. David L.
Horton, Prof. Tom
Hu, Dr. Xiao
Hughes, Prof. Lorna
Hui, Dr. Barbara
Huitfeldt, Claus
Hunyadi, Prof. László
Inaba, Prof. Mitsuyuki
Isaksen, Dr. Leif
Ivanovs, Prof. Aleksandrs
Jannidis, Fotis
Jewell, Dr. Andrew Wade
Johnsen, Dr. Lars
Johnson, Eric D. M.
Johnson, Dr. Ian R.
Johnston, Kelly Gene
Jones, Prof. Jason B.
Jones, Prof. Steven Edward
Juola, Prof. Patrick
Kaislaniemi, Samuli
Kansa, Dr. Eric Christopher
Keating, Dr. John Gerard
Kelber, Nathan Patrick
Kelleher, Prof. Margaret
Keramidas, Dr. Kimon
Kermanidis, Dr. Katia Lida
Khosmood, Foaad
Kibbee, Prof. Douglas
Kirschenbaum, Prof. Matthew
Knight, Gareth
Knox, Douglas
Koh, Prof. Adeline
Körner, Fabian
Koster, Dr. Elwin
Kowal, Kimberly
kraus, Dr. Kari Michaele
Krauwer, Steven
Kretzschmar, Dr. William
Krot, Michael Adam
Kuemmel, Dr. Christoph
Lana, Dr. Maurizio
Lancaster, Dr. Lewis Rosser
Lang, Dr. Anouk
Lavagnino, Dr. John
Lavrentiev, Dr. Alexei
Lawless, Prof. Séamus
Lawrence, Dr. Katharine Faith
Ledezma, Prof. Domingo
Lendvai, Dr. Piroska
Leon, Dr. Sharon
Lester, Dave
Lindemann, Prof. Marilee
Litta Modignani Picozzi, Dr. Eleonora
Llewellyn, Clare
Lombardini, Dr. Dianella
Lorang, Dr. Elizabeth M.
Losh, Elizabeth
Lucic, Ana
Lüngen, Dr. Harald
Luyckx, Kim
Lyman, Dr. Eugene W.
Maeda, Prof. Akira
Mahony, Simon
Makinen, Dr. Martti
Maly, Dr. Kurt
Mandell, Prof. Laura C.
Manovich, Prof. Lev
Marino, Prof. Mark Christopher
Martin, Prof. Worthy N.
Martín Arista, Dr. Javier
McCarty, Prof. Willard
McDaniel, Dr. Rudy
McDonald, Prof. Jarom Lyle
McPherson, Tara
Meece, Stephanie
Meeks, Elijah
Meister, Prof. Jan Christoph
Meschini, Federico
Miles, Adrian
Mimno, Dr. David
Miyake, Dr. Maki
Monteiro Vieira, Jose Miguel
Morrison, Prof. Aimée
Mostern, Dr. Ruth
Moulin, Prof. Claudine
Moulthrop, Prof. Stuart
Mueller, Prof. Martin
Muller, Prof. A. Charles
Muñoz, Trevor
Munson, Matthew Aaron
Muralidharan, Aditi
Murphy, Dr. Orla
Mylonas, Elli
Nagasaki, Kiyonori
Nelson, Prof. Brent
Nelson, Dr. Robert K.
Nerbonne, Prof. John
Newton, Greg T.
Nieves, Dr. Angel David
Norrish, Jamie
Nowviskie, Dr. Bethany
Nyhan, Dr. Julianne
O'Donnell, Prof. Daniel Paul
Ohya, Prof. Kazushi
Olsen, Prof. Mark
Opas-Hänninen, Prof. Lisa Lena
Ore, Dr. Christian-Emil
Ore, Espen S.
Organisciak, Peter
Paolillo, Prof. John
Pasanek, Brad
Perdue, Susan Holbrook
Perez Isasi, Dr. Santiago
Pierazzo, Dr. Elena
Piez, Dr. Wendell
Pitti, Daniel
Porter, Dorothy Carr
Posner, Dr. Miriam
Potvin, Sarah
Prescott, Prof. Andrew John
Priani, Dr. Ernesto
Puschmann, Dr. Cornelius
Pytlik Zillig, Prof. Brian L.
Rahtz, Sebastian
Ramsay, Dr. Stephen
Rapp, Prof. Andrea
Redwine, Gabriela Gray
Rehbein, Prof. Malte
Rehberger, Prof. Dean
Rehm, Dr. Georg
Renear, Prof. Allen H.
Reside, Dr. Doug
Rhody, Dr. Jason
Riddell, Allen Beye
Ridge, Mia
Ridolfo, Dr. Jim
Robey, Prof. David
Robinson, Prof. Peter
Rochester, Dr. Eric
Rockwell, Prof. Geoffrey
Rodríguez, Dr. Nuria
Roe, Dr. Glenn H.
Roeder, Torsten
Rohrbach, Prof. Augusta
Romanello, Matteo
Romary, Laurent
Roorda, Dr. Dirk
Rosner, Prof. Lisa
Ross, Claire Stephanie
Roueché, Prof. Charlotte
Roued-Cunliffe, Henriette
Rudman, Prof. Joseph
Ruecker, Dr. Stan
Ruotolo, Christine
Russo, Dr. Angelina
Rybicki, Dr. Jan
Sahle, Patrick
Saklofske, Dr. Jon
Salciute-Civiliene, Gabriele
Sample, Prof. Mark
Sanderson, Dr. Robert
Sayers, Dr. Jentery
Schaßan, Torsten
Scheinfeldt, Dr. Joseph Thomas
Schlitz, Dr. Stephanie
Schmidt, Dr. Desmond
Schmidt, Harry
Schmidt, Sara A.
Schöch, Dr. Christof
Schreibman, Prof. Susan
Schubert, Prof. Charlotte
Scifleet, Dr. Paul Anthony
Seppänen, Prof. Tapio
Sewell, David Robert
Shaw, Dr. Ryan Benjamin
Shaw, William Stewart
Shep, Dr. Sydney
Shimoda, Prof. Masahiro
Short, Prof. Harold
Siemens, Dr. Lynne
Siemens, Prof. Raymond George
Simons, Prof. Gary F.
Sinclair, Prof. Stéfan
Singer, Prof. Kate
Smith, Prof. Martha Nell
Smithies, Dr. James Dakin
Snyder, Dr. Lisa M.
Sokól, Dr. Malgorzata
Spence, Paul Joseph
Sperberg-McQueen, Dr. Michael
Spiro, Dr. Lisa
Steggle, Prof. Matthew
Sternfeld, Dr. Joshua
Stokes, Dr. Peter Anthony
Sukovic, Dr. Suzana
Sula, Dr. Chris Alen
Suzuki, Dr. Takafumi
Swanstrom, Dr. Elizabeth Anne
Tabata, Prof. Tomoji
Tanner, Simon
Tasovac, Toma
Teehan, Aja
Teich, Prof. Elke
Terras, Dr. Melissa
Thaller, Prof. Manfred
Thawonmas, Prof. Ruck
Theibault, Dr. John Christopher
Todirascu, Amalia
